what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361198419698
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361198445719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1361198447684
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1361198448279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1361198451395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361198451927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361198454037
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361198511940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361198512787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361198520528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361198521433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361198591884
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361198618770
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1361198621239
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1361198623483
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1361198625621
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1361198627108
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361198633130
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361198633944
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1361198639999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361198643851
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361198723363
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1361198723369
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1361198723440
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1361198723464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361198724653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361198728675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361198729572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361210415837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361210808707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361210965433
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361210968417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361210996836
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1361210998396
